%     time           SX11           SX12           SX13           SX22           SX23           SX33
         0              0              0    -1.5151e-07              0              0              0
    0.0002              0              0    -2.6115e-07              0              0              0
    0.0004              0              0    -3.6033e-07              0              0              0
    0.0006              0              0    -4.4127e-07              0              0              0
    0.0008              0              0    -4.9675e-07              0              0              0
     0.001              0              0    -5.2067e-07              0              0              0
    0.0012              0              0    -5.0848e-07              0              0              0
    0.0014              0              0    -4.5767e-07              0              0              0
    0.0016              0              0    -3.6811e-07              0              0              0
    0.0018              0              0    -2.4222e-07              0              0              0
     0.002              0              0      -8.51e-08              0              0              0
    0.0022              0              0     9.5618e-08              0              0              0
    0.0024              0              0        2.9e-07              0              0              0
    0.0026              0              0     4.8628e-07              0              0              0
    0.0028              0              0     6.7145e-07              0              0              0
     0.003              0              0     8.3201e-07              0              0              0
    0.0032              0              0     9.5482e-07              0              0              0
    0.0034              0              0      1.028e-06              0              0              0
    0.0036              0              0     1.0417e-06              0              0              0
    0.0038              0              0     9.8936e-07              0              0              0
     0.004              0              0     8.6796e-07              0              0              0
    0.0042              0              0     6.7893e-07              0              0              0
    0.0044              0              0     4.2841e-07              0              0              0
    0.0046              0              0     1.2737e-07              0              0              0
    0.0048              0              0    -2.0864e-07              0              0              0
     0.005              0              0    -5.5996e-07              0              0              0
    0.0052              0              0    -9.0367e-07              0              0              0
    0.0054              0              0    -1.2148e-06              0              0              0
    0.0056              0              0    -1.4676e-06              0              0              0
    0.0058              0              0    -1.6374e-06              0              0              0
     0.006              0              0    -1.7021e-06              0              0              0
    0.0062              0              0    -1.6443e-06              0              0              0
    0.0064              0              0    -1.4525e-06              0              0              0
    0.0066              0              0    -1.1234e-06              0              0              0
    0.0068              0              0    -6.6265e-07              0              0              0
     0.007              0              0    -8.5772e-08              0              0              0
    0.0072              0              0     5.8123e-07              0              0              0
    0.0074              0              0     1.3022e-06              0              0              0
    0.0076              0              0     2.0319e-06              0              0              0
    0.0078              0              0     2.7173e-06              0              0              0
     0.008              0              0     3.3001e-06              0              0              0
    0.0082              0              0     3.7197e-06              0              0              0
    0.0084              0              0     3.9174e-06              0              0              0
    0.0086              0              0     3.8399e-06              0              0              0
    0.0088              0              0     3.4451e-06              0              0              0
     0.009              0              0     2.7071e-06              0              0              0
    0.0092              0              0     1.6216e-06              0              0              0
    0.0094              0              0     2.1226e-07              0              0              0
    0.0096              0              0    -1.4641e-06              0              0              0
    0.0098              0              0    -3.3113e-06              0              0              0
      0.01              0              0    -5.1883e-06              0              0              0
    0.0102              0              0    -6.9044e-06              0              0              0
    0.0104              0              0    -8.2136e-06              0              0              0
